Municipios,Ano,População residente,Densidade populacional,Jovens (%),População em idade activa (%),Idosos (%),Índice de envelhecimento,População estrangeira (2),População estrangeira em % da população residente (2),Nascimentos (3),Óbitos,Taxa de mortalidade infantil (‰),Diferença entre os nascimentos e os óbitos,Casamentos,Divórcios,Hospitais,Farmácias (1),Alojamentos familiares clássicos,Edifícios novos concluídos para habitação familiar,Estabelecimentos do ensino pré-escolar,Estabelecimentos do 1.º ciclo do ensino básico,Estabelecimentos do 2.º ciclo do ensino básico,Estabelecimentos do 3.º ciclo do ensino básico,Estabelecimentos do ensino secundário,Alunos do ensino não superior (5),Estabelecimentos do ensino superior,Alunos do ensino superior (5),Museus,Sessões de espectáculos ao vivo,Ecrãs de cinema,Despesas da Câmara Municipal em cultura e desporto (%),Empresas não financeiras (4),Pessoal ao serviço nas empresas não financeiras (4),Pessoal ao serviço nas quatro maiores empresas do município (%),Volume de negócios das quatro maiores empresas do município (%),Ganho médio mensal dos trabalhadores por conta de outrem. €,Bancos. Caixas Económicas,Caixas de Crédito Agrícola Mútuo,Caixas automáticas multibanco,Pensões da Segurança Social,Pensões da Caixa Geral de Aposentações,Pensões da Segurança Social e da CGA em % da população residente,Beneficiários do Rendimento Social de Inserção (RSI),Desempregados inscritos nos centros de emprego,Desempregados inscritos nos centros de emprego em % da população residente,Trabalhadores da Administração Pública Local,Despesas da Câmara Municipal (7),Receitas da Câmara Municipal (8),Saldo financeiro da Câmara Municipal,Transferências recebidas no total das receitas da Câmara Municipal (%),Crimes registados pelas polícias por mil habitantes,Consumo de energia eléctrica por habitante (kWh),Resíduos urbanos recolhidos selectivamente por habitante (kg),Despesas do município em ambiente (%),Alojamentos turísticos (6),(%)sem nivel de escolaridade,(%) Básico 1º ciclo,(%)Básico 2º ciclo,(%)Básico 3º ciclo,(%)Secundário,(%)Médio,(%)Superior
Arganil,2010,12262,0,11.5,60.1,28.4,247,250,2,0,211,0,-123,29,19,0,4,10888,26,9,8,2,3,1,3161,0,0,0,0,0,7.9,1113,3105,17,20,737,5,3,11,5026,656,53,732,488,7,224,13848.3,10760.8,-3088,69.7,29.8,4488.8,43.6,2,1,18.1,35.3,11.1,18.2,11.6, 0.5,5.3
Armamar,2010,6399,0,12.9,62.1,25,194,33,0.5,0,102,0,-57,12,9,0,2,4925,32,8,10,1,1,0,770,0,0,0,0,0,5.4,569,1306,19,37,734,2,1,6,2239,233,45,384,308,8,200,8390.5,8437,47,76.7,15.3,3079.3,49.1,3,1,16.0,38.5,13.6,14.8,11.2, 0.6,5.3
Arouca,2010,22505,0,15.6,66.8,17.6,113,88,0.4,0,217,0,-11,108,33,0,7,10693,62,17,26,2,3,1,5106,0,0,2,0,0,9.1,2126,6305,7,15,735,8,1,21,6804,628,39,782,760,5,206,18773.3,17938.7,-835,73.1,17.4,2461,43.6,4,1,13.4,33.2,18.2,16.5,10.3, 1.0,7.4
Arraiolos,2010,7388,0,12.5,61.4,26.1,208,107,1.4,0,103,0,-44,13,11,0,6,4728,30,7,7,1,1,1,1146,0,0,0,0,1,23.9,791,1798,11,35,807,3,2,8,2782,273,47,239,272,6,142,9326.3,9667.9,342,78.7,18.3,3859.1,68.1,4,2,17.1,28.9,12.6,18.9,14.2, 0.7,7.5
Arronches,2010,3193,0,10.1,58.5,31.3,309,52,1.6,0,68,0,-49,7,8,0,3,2539,4,4,3,1,1,0,322,0,0,0,0,1,11.1,269,527,21,41,717,1,1,5,1509,280,62,163,120,6,103,5314.1,5647.6,334,84.6,8.8,3065.4,71.4,5,0,22.7,31.5,11.3,15.6,11.7, 0.4,6.8
Arruda dos Vinhos,2010,13246,0,18.4,64.2,17.4,95,698,5.3,0,128,0,15,44,39,0,2,6685,58,6,7,1,2,2,2914,0,0,0,42,0,15.3,1537,4425,16,23,981,7,1,19,3375,425,35,220,434,5,252,9945,9790.9,-154,51.6,30.1,3007.9,38.2,2,0,9.5,26.6,12.5,18.3,17.9, 1.3,13.9
Aveiro,2010,78274,0,14.9,68.8,16.3,109,3774,4.8,0,697,0,102,362,261,2,21,40470,150,53,38,11,15,7,16828,5,11901,3,475,15,2,9520,31342,11,23,1092,68,2,154,18269,4863,35,1979,4047,8,546,44342.4,46047.7,1705,24.2,53.2,8410.1,86.4,2,17,7.1,22.4,12.3,20.0,15.7, 1.0,21.5
Avis,2010,4627,0,10.5,59.9,29.6,283,116,2.5,0,102,0,-77,12,11,0,5,3658,23,4,5,1,1,1,596,0,0,1,0,0,15.5,412,862,19,41,905,2,2,8,1994,231,54,356,262,9,206,8692.9,8785.1,92,80.7,28.3,6401.5,168.2,1,2,20.9,32.2,12.2,15.9,11.7, 0.7,6.4
Azambuja,2010,21818,0,14.8,65,20.2,136,1048,4.8,0,250,0,-53,86,64,0,6,11890,42,9,15,3,4,1,3684,0,0,0,0,1,5.4,1684,5939,26,61,1106,8,5,36,7064,1087,44,765,1002,7,358,16626.4,16443.3,-183,51.3,36,7532.2,39.8,6,2,12.4,29.5,13.0,20.1,15.7, 0.9,8.4
Baião,2010,20707,0,15.4,66.1,18.5,120,44,0.2,0,250,0,-97,75,38,0,6,11597,44,18,26,3,3,1,3698,0,0,2,0,0,5.9,1211,3749,10,15,745,5,2,10,6081,536,38,2705,1926,14,334,15391.6,14773.8,-618,81.1,26.3,1852.4,32.5,5,1,19.7,35.2,14.8,16.2,9.4, 0.5,4.3
