Municipios,Ano,População residente,Densidade populacional,Jovens (%),População em idade activa (%),Idosos (%),Índice de envelhecimento,População estrangeira (2),População estrangeira em % da população residente (2),Nascimentos (3),Óbitos,Taxa de mortalidade infantil (‰),Diferença entre os nascimentos e os óbitos,Casamentos,Divórcios,Hospitais,Farmácias (1),Alojamentos familiares clássicos,Edifícios novos concluídos para habitação familiar,Estabelecimentos do ensino pré-escolar,Estabelecimentos do 1.º ciclo do ensino básico,Estabelecimentos do 2.º ciclo do ensino básico,Estabelecimentos do 3.º ciclo do ensino básico,Estabelecimentos do ensino secundário,Alunos do ensino não superior (5),Estabelecimentos do ensino superior,Alunos do ensino superior (5),Museus,Sessões de espectáculos ao vivo,Ecrãs de cinema,Despesas da Câmara Municipal em cultura e desporto (%),Empresas não financeiras (4),Pessoal ao serviço nas empresas não financeiras (4),Pessoal ao serviço nas quatro maiores empresas do município (%),Volume de negócios das quatro maiores empresas do município (%),Ganho médio mensal dos trabalhadores por conta de outrem. €,Bancos. Caixas Económicas,Caixas de Crédito Agrícola Mútuo,Caixas automáticas multibanco,Pensões da Segurança Social,Pensões da Caixa Geral de Aposentações,Pensões da Segurança Social e da CGA em % da população residente,Beneficiários do Rendimento Social de Inserção (RSI),Desempregados inscritos nos centros de emprego,Desempregados inscritos nos centros de emprego em % da população residente,Trabalhadores da Administração Pública Local,Despesas da Câmara Municipal (7),Receitas da Câmara Municipal (8),Saldo financeiro da Câmara Municipal,Transferências recebidas no total das receitas da Câmara Municipal (%),Crimes registados pelas polícias por mil habitantes,Consumo de energia eléctrica por habitante (kWh),Resíduos urbanos recolhidos selectivamente por habitante (kg),Despesas do município em ambiente (%),Alojamentos turísticos (6),(%)sem nivel de escolaridade,(%) Básico 1º ciclo,(%)Básico 2º ciclo,(%)Básico 3º ciclo,(%)Secundário,(%)Médio,(%)Superior
Chamusca,2010,10215,0,11.3,61.7,26.9,238,106,1,0,150,0,-83,13,23,0,9,6203,12,10,8,1,1,1,1149,0,0,0,0,0,11.8,936,2485,12,32,834,3,3,14,4368,417,53,348,462,7,161,10003.7,11030.3,1027,75.1,42,4470.3,44.4,10,0,17.5,35.1,13.4,16.9,10.4, 0.5,6.2
Chaves,2010,41561,0,12.2,64.1,23.7,194,545,1.3,0,540,0,-286,157,115,1,12,28240,59,39,40,3,6,4,8742,2,737,2,0,1,7.6,3979,8828,5,13,817,18,3,46,11586,2873,40,1970,2417,9,504,28283,29110.7,828,66.6,30.8,3051.6,48.3,2,12,13.5,31.9,10.9,16.3,14.7, 0.6,12.0
Cinfães,2010,20601,0,15,64.6,20.3,136,83,0.4,0,236,0,-72,80,36,0,8,11593,78,21,29,2,3,2,4137,0,0,1,0,0,11.3,1156,3233,12,16,711,4,2,10,6104,538,38,2364,1470,11,321,13287.8,15399.4,2112,91.5,27.5,1766.2,35.1,4,1,18.1,36.0,18.5,14.0,8.8, 0.4,4.2
Coimbra,2010,143945,0,12.7,67.6,19.7,156,6344,4.4,0,1373,0,-187,637,398,12,49,79117,263,79,81,20,26,17,29466,18,34285,5,583,18,11.6,19340,44602,4,16,1061,110,8,285,37023,15363,42,5316,6066,6,1454,79947.8,77330.1,-2618,31.9,43.7,5611.1,67.8,13,22,7.4,21.5,8.9,17.4,16.9, 1.0,26.9
Condeixa-a-Nova,2010,17029,0,16.1,65.7,18.2,113,270,1.6,0,178,0,5,52,55,1,5,8482,36,10,9,1,2,1,1734,0,0,2,0,0,4.1,1688,3778,16,41,895,7,1,20,4493,965,38,474,532,5,217,11887.1,12087.8,201,54.3,28,3283.3,51.4,4,1,11.9,25.6,9.1,18.0,17.0, 1.1,17.3
Constância,2010,4039,0,15,64,21,140,51,1.3,0,28,0,3,16,10,1,2,2170,5,5,5,1,1,1,653,0,0,1,0,1,14.6,286,978,38,69,1098,4,1,6,962,243,35,125,167,6,112,6706.1,6263.6,-442,75.1,33.2,25848.3,48.3,8,1,11.8,29.8,11.3,19.7,16.2, 1.0,10.2
Coruche,2010,20085,0,12.1,59.1,28.8,238,343,1.7,0,291,0,-154,46,35,0,7,12553,26,14,15,2,4,2,2781,0,0,1,0,0,6.2,1958,4957,14,36,916,6,2,19,8324,751,52,886,1163,10,420,18600.9,18722.8,122,75.5,39.9,5945.6,24.3,9,2,20.9,33.7,10.6,15.5,11.7, 0.7,6.9
Corvo,2010,417,0,11.3,67.7,21,186,27,6.5,0,6,0,-3,1,0,0,0,190,0,1,1,1,1,0,59,0,0,0,0,0,10.4,83,87,9,60,0,2,0,2,80,46,34,30,13,5,40,1650.9,1732.2,81,97.7,19.2,2965.7,19.2,3,0,11.4,36.6,17.3,15.4,12.5, 0.3,6.5
Covilhã,2010,52081,0,12.4,64.8,22.7,183,676,1.3,0,604,0,-208,163,115,1,21,35189,88,46,27,7,10,6,10152,1,5960,1,0,4,11.4,4713,12575,11,16,842,30,2,78,19252,2399,48,2059,3581,11,353,29585.9,29256,-330,61.4,24.9,4250.4,7.4,0,9,12.5,29.9,10.7,18.1,15.0, 0.9,12.8
Crato,2010,3766,0,10.2,57.6,32.2,318,95,2.5,0,79,0,-54,16,6,0,5,3255,5,3,2,1,1,1,456,0,0,0,0,0,18.1,382,650,10,21,744,2,2,5,1853,273,63,206,178,8,116,6967.8,7369.2,401,81.3,18.9,3258.8,209.5,2,1,20.9,36.2,11.2,16.1,9.3, 0.5,5.7
Cuba,2010,4895,0,14.2,61.7,24.1,170,158,3.2,0,83,0,-46,16,7,0,3,3009,17,5,4,1,2,1,816,0,0,0,0,1,7.6,447,732,10,20,820,2,1,6,1743,242,47,356,218,7,127,5929.4,5808.8,-121,79.5,27.2,3260.3,99.9,2,0,15.3,29.6,11.5,19.0,14.9, 0.8,8.9
Elvas,2010,23122,0,15,63.1,22,147,803,3.5,0,274,0,-37,73,67,1,10,13348,39,20,14,4,4,2,4443,1,299,2,157,0,20.8,2445,5306,4,16,808,14,4,26,6741,2013,45,2951,1451,10,247,17644.2,20101.3,2457,60,40.9,3586.9,99.9,4,10,13.6,26.4,12.7,20.4,16.3, 0.9,9.7
Entroncamento,2010,20147,0,16.6,66.5,16.9,102,503,2.5,0,162,0,35,91,76,1,4,10701,28,9,7,2,3,3,3977,0,0,0,0,0,10.4,1870,6156,35,43,1074,11,1,26,4487,1395,35,519,722,5,299,14722.4,14622.8,-100,44.5,25.3,4259.7,52.4,5,1,5.9,21.4,10.3,22.2,21.3, 1.3,17.6
Espinho,2010,31983,0,13.3,67.6,19.1,143,669,2.1,0,311,0,-74,232,97,1,9,15738,16,19,16,4,7,6,7595,1,51,1,74,1,10.9,3456,8692,19,32,855,20,1,47,10061,1645,42,1750,3441,16,652,22899.1,24130.7,1232,43.5,41.1,3242.7,119.3,4,5,9.8,30.8,12.7,17.8,13.9, 0.6,14.3
Esposende,2010,34315,0,17.1,69.2,13.7,80,401,1.2,0,274,0,54,175,66,2,8,20904,158,23,24,4,6,2,7247,0,0,2,0,1,7.5,3948,11945,8,30,781,18,2,44,7169,883,28,579,1391,6,165,16764.5,18630.6,1866,54.3,37.4,3521.9,76.6,14,8,9.6,26.9,18.6,19.1,13.6, 0.9,11.4
Estarreja,2010,27094,0,14.9,66.1,19,128,290,1.1,0,302,0,-67,97,61,1,6,12796,52,21,15,3,4,1,5050,0,0,1,111,2,18.2,2555,7466,15,52,1047,12,2,28,7454,760,36,1247,1312,7,245,20562.7,21084.6,522,52.6,45.9,21855,54.4,5,2,10.4,31.4,15.6,20.1,12.5, 0.7,9.3
Estremoz,2010,14415,0,11.7,59.9,28.4,243,372,2.6,0,216,0,-124,50,39,0,7,9434,10,13,14,2,3,2,3193,0,0,0,0,0,5.6,1817,3850,7,16,860,6,4,19,5419,774,49,778,551,6,284,15590,14329.4,-1261,73.9,22.3,3625.1,63.1,4,8,17.7,28.1,10.6,18.0,15.6, 0.8,9.2
Évora,2010,56716,0,14.5,66,19.5,134,1875,3.3,0,612,0,-107,228,151,3,22,29136,69,36,28,5,8,5,11851,2,8119,3,243,2,10.1,6984,16978,12,22,992,40,5,106,16114,4953,43,2455,2655,7,1204,41773.5,43457.5,1684,54.1,35.6,5110.4,66.7,7,16,9.7,22.4,10.9,18.7,18.7, 1.0,18.5
Fafe,2010,50890,0,15.7,69,15.3,98,167,0.3,0,472,0,-18,204,112,1,9,25133,139,35,28,6,8,2,9805,2,594,1,0,0,8,4396,14884,7,11,708,14,1,39,13432,1236,34,2551,3835,11,519,30228.2,33947,3719,63.6,35.8,2976,40.6,9,2,11.6,32.9,18.3,16.9,11.2, 0.5,8.5
Faro,2010,64316,0,15.4,67.5,17.1,111,7196,11.2,0,609,0,68,338,193,2,18,37731,38,28,23,9,9,6,13472,8,8086,2,33,10,12.4,9294,22443,5,14,1068,52,6,128,14395,4609,35,2889,3149,7,923,27536.6,30989.7,3453,39.1,53.6,4590.6,149.7,4,21,8.2,21.6,9.5,20.0,19.8, 1.1,19.8
Felgueiras,2010,58231,0,17.6,70.7,11.7,66,231,0.4,0,377,0,125,241,121,1,12,24236,116,42,40,5,8,5,14710,2,1348,0,0,0,10.2,5067,25567,4,6,691,23,5,48,11763,892,26,2198,3505,9,757,35298.9,34616.6,-682,61.4,38.4,3418.7,15,4,3,10.9,34.3,17.3,19.0,11.9, 0.7,6.0
Ferreira do Alentejo,2010,8316,0,12.3,62.3,25.4,206,259,3.1,0,131,0,-61,23,21,1,7,5154,7,10,8,1,1,1,1015,0,0,0,0,1,9.9,1009,2175,18,25,915,3,1,10,3307,359,50,559,482,9,277,11419.8,11313.9,-106,76.5,26.7,4282.2,48.8,4,3,19.4,30.8,12.4,17.8,11.7, 0.7,7.2
Ferreira do Zêzere,2010,8679,0,13,59.2,27.8,213,165,1.9,0,149,0,-98,36,20,0,4,7500,31,8,7,1,1,1,1191,0,0,0,0,0,3.8,753,2081,19,46,750,3,1,7,3426,299,50,234,219,4,146,11373.4,9790.8,-1583,73.3,37.2,4554.7,42.5,6,2,19.3,35.0,11.6,16.3,11.9, 0.8,5.1
Figueira da Foz,2010,62329,0,13.5,64.9,21.6,160,1972,3.2,0,730,0,-217,240,181,1,23,43180,126,37,41,5,9,5,10596,0,0,1,514,5,12,6648,19312,10,48,1090,27,4,83,18022,3519,40,2818,3400,8,580,27169.4,30293.2,3124,43.5,37.7,22597.7,58.7,14,19,12.3,26.5,11.2,19.6,16.0, 0.8,13.6
Figueira de Castelo Rodrigo,2010,6333,0,11.1,57.6,31.3,281,67,1.1,0,129,0,-89,20,2,0,3,5395,10,7,2,1,1,1,794,0,0,0,0,0,15.2,592,1057,10,32,883,4,1,8,2351,487,51,510,210,6,134,8567.4,8785.3,218,83.5,27.3,2943.8,32.2,8,3,20.6,36.0,11.7,14.3,9.4, 0.6,7.4
Figueiró dos Vinhos,2010,6254,0,11.1,59.6,29.3,264,66,1.1,0,99,0,-67,20,10,0,6,4853,10,5,3,1,1,1,904,0,0,0,0,0,11.2,625,1137,9,26,768,2,1,5,2567,357,53,472,374,10,192,6320.3,6639.7,319,81.2,32.5,2762.6,42.9,8,0,18.8,35.1,11.4,15.6,11.5, 1.0,6.6
Fornos de Algodres,2010,5040,0,11.8,59.6,28.6,241,16,0.3,0,102,0,-78,10,4,0,2,4038,10,11,2,1,1,1,764,0,0,0,0,0,3.7,417,967,13,22,708,2,1,4,1829,270,48,305,246,8,112,24738.2,6029.6,-18709,74.9,20.8,2550.7,29.4,3,0,19.5,40.2,9.3,14.2,9.5, 0.7,6.6
Freixo de Espada à Cinta,2010,3819,0,11.5,55.4,33.1,288,95,2.5,0,79,0,-56,18,3,0,1,3135,10,6,1,1,1,0,385,0,0,0,0,1,5.5,287,658,36,57,671,2,1,3,1519,335,55,85,220,10,184,7715.1,9164.5,1449,91.5,25.9,2910.2,30.4,3,0,22.6,38.0,11.9,13.5,8.3, 0.6,5.0
Fronteira,2010,3450,0,12.2,60.9,26.8,219,89,2.6,0,63,0,-51,11,3,0,3,2595,6,3,2,1,1,1,627,0,0,0,0,0,28.8,370,775,15,28,788,2,2,4,1409,182,53,146,194,9,93,5593,5501.3,-92,82.3,18.6,3531.6,109,3,1,19.9,28.5,13.3,17.4,12.5, 0.5,7.9
Funchal,2010,111795,0,15.5,69.8,14.7,95,4527,4,0,1164,0,-177,514,273,9,27,51775,113,71,46,14,19,22,27107,4,3574,8,519,13,7,11985,45843,8,16,1075,101,0,190,28211,6413,36,4805,6208,8,1744,72530.2,78261.1,5731,29.4,33.9,3760,93.5,25,100,9.2,25.6,13.8,18.4,15.8, 1.3,15.9
Fundão,2010,29432,0,12.3,60.8,26.9,219,456,1.5,0,425,0,-241,114,63,1,10,21961,53,26,24,4,7,3,4737,0,0,1,0,0,6.4,2827,7108,6,13,787,13,3,39,10267,1304,45,1124,1594,9,273,22092.8,24670.8,2578,57.2,26.4,3785.8,33.6,2,5,17.5,31.1,10.9,18.0,12.0, 1.0,9.5
Gavião,2010,4185,0,8.7,52.3,39,448,24,0.6,0,88,0,-64,10,3,0,4,3592,3,4,3,1,1,0,364,0,0,0,0,0,3.6,303,591,14,32,739,2,1,6,2259,338,68,210,204,9,134,6210.3,6635.6,425,80.1,19.1,2794,84.8,8,0,21.6,38.4,11.6,16.1,8.0, 0.5,3.8
Góis,2010,4313,0,11.5,55.9,32.6,282,99,2.3,0,98,0,-78,16,10,0,3,5167,12,5,4,1,1,0,449,0,0,0,0,0,23.1,378,995,26,47,705,1,1,4,2000,269,60,159,128,5,159,7466.7,7838.5,372,77.2,30.4,2756,40.3,5,0,21.9,35.2,9.7,17.4,10.4, 0.7,4.8
Golegã,2010,5488,0,13.6,63.3,23.1,169,42,0.8,0,77,0,-42,32,12,0,3,3113,13,3,2,1,1,1,747,0,0,0,0,0,7.7,530,1218,15,38,789,3,2,6,2129,325,52,156,204,6,147,6170.7,6230.9,60,71,38.1,4841.4,50.3,4,1,13.0,30.1,12.8,19.2,14.5, 0.8,9.6
Gondomar,2010,168278,0,15.5,70.4,14.1,91,1533,0.9,0,1250,0,248,498,501,1,32,73257,154,68,67,11,16,7,26661,0,0,0,11,12,8.9,14882,33395,3,29,868,50,2,115,39473,6375,32,16111,12037,10,1854,65199.4,65006,-193,44.3,30.4,2610.5,51,11,1,7.8,28.8,14.4,20.4,16.4, 1.0,11.1
Gouveia,2010,14212,0,10.9,58.4,30.7,282,140,1,0,248,0,-181,44,28,0,7,11165,16,17,9,2,2,2,2182,0,0,3,53,1,7.5,1212,2563,8,21,735,5,3,18,6017,732,54,738,844,10,185,9917.6,11461.4,1544,79.1,24.3,2899.7,27.9,6,3,16.9,38.4,10.3,14.8,10.2, 0.6,8.8
Grândola,2010,14902,0,12.8,61.9,25.3,197,533,3.6,0,227,0,-111,42,35,0,5,12025,57,11,10,1,2,2,2815,0,0,0,71,0,9.7,1943,3656,10,15,912,7,3,23,6040,679,52,653,379,4,428,28134.5,25400.5,-2734,34.6,32.3,4511.4,76.4,3,8,18.5,28.7,13.8,16.7,14.3, 0.6,7.3
Guarda,2010,42748,0,14,66,20.1,144,674,1.6,0,473,0,-174,188,89,2,13,27779,59,32,26,4,6,3,9164,3,2541,1,249,4,10.9,4509,11062,7,27,894,27,2,72,11638,2823,39,1578,2120,8,596,25130.2,28977,3847,62.2,24.7,4248.1,34.4,8,6,10.5,25.7,9.1,20.9,15.8, 1.0,17.0
Guimarães,2010,158611,0,15.9,71.1,12.9,81,1330,0.8,0,1084,0,285,643,373,2,33,66572,275,95,84,17,20,8,29868,1,115,5,104,12,8.2,14228,61346,4,7,806,69,3,180,39308,3091,32,4835,12855,11,1638,79868.3,77554.2,-2314,55.3,33.8,5264.7,61.6,5,13,9.0,31.4,16.1,20.2,13.2, 0.7,9.3
Horta,2010,15006,0,16.1,68.9,14.9,92,556,3.7,0,147,0,5,58,46,1,5,7034,16,13,12,1,1,2,2629,0,0,2,0,2,6.8,2148,3938,8,13,0,12,1,26,3407,1295,37,903,391,4,192,9866.2,10249.9,384,69,38.1,3192.4,0,31,6,7.3,29.4,16.0,20.1,14.8, 1.1,11.3
Idanha-a-Nova,2010,9883,0,9.5,47.9,42.5,446,255,2.6,0,278,0,-229,28,18,0,8,11817,26,10,6,1,1,2,1351,1,759,1,0,1,12,879,1734,16,26,741,2,3,12,4808,1156,68,378,386,8,266,15825.3,15944.8,120,81.7,45.6,3632.9,4,6,7,28.1,36.6,8.5,13.0,8.4, 0.3,5.1
Ílhavo,2010,38583,0,15.9,68.2,15.9,100,1105,2.9,0,298,0,68,98,133,0,8,21886,115,23,19,3,5,2,5926,0,0,2,0,0,6.7,3945,12277,21,25,1001,17,2,33,9003,1592,33,1138,2045,8,409,28645.1,30698.3,2053,42.3,45.9,5635.3,89.5,6,6,8.0,27.6,13.6,20.1,14.6, 0.9,15.2
Lagoa,2010,22878,0,16.7,66.1,17.2,103,4146,18.1,0,183,0,48,62,60,0,7,19558,49,13,9,4,5,2,3867,0,0,0,106,0,19.5,3215,8579,9,16,943,18,4,40,4994,816,30,998,1386,9,489,28147.3,27207.2,-940,17.5,70.7,6204.7,371.5,6,33,9.6,24.8,12.7,23.5,18.3, 1.0,10.0
Lagoa [R.A.A.],2010,14428,0,21.2,68.7,10.1,48,114,0.8,0,94,0,104,54,45,0,3,5038,27,12,10,1,1,2,2869,1,229,0,0,0,7.5,1146,2636,14,24,0,6,1,12,0,366,0,2156,364,4,125,10676.6,10825.4,149,65.4,51.6,2463.8,30.2,4,5,10.6,30.9,21.2,19.1,9.9, 0.8,7.6
Lagos,2010,30767,0,16.9,64.4,18.7,111,7065,23,0,257,0,91,169,78,2,8,26928,57,14,17,3,5,3,6662,0,0,2,160,0,15.7,4458,10694,4,14,866,20,4,57,6968,1477,33,1393,1791,9,795,37058.7,37305.1,246,23.9,55.8,5000.5,228.2,8,34,10.6,21.8,11.5,22.0,20.5, 1.3,12.3
Lajes das Flores,2010,1514,0,13.8,65.5,20.7,149,82,5.4,0,15,0,-2,7,4,0,0,994,3,1,1,1,0,0,0,0,0,0,0,0,1.4,297,380,12,51,0,3,0,2,386,78,36,48,24,2,45,5540.1,6473.2,933,78.8,29.7,2518.1,0,0,0,11.0,37.3,14.5,17.7,11.1, 0.9,7.5
Lajes do Pico,2010,4734,0,13.4,65.1,21.5,160,78,1.6,0,49,0,-15,19,9,0,2,3145,8,9,8,1,1,1,739,0,0,1,0,0,14.7,688,1073,12,27,0,5,1,9,1581,274,45,243,99,3,79,10292.1,6927.6,-3364,91.2,14.4,2768.3,2.3,1,2,10.0,37.7,15.4,16.7,11.8, 0.7,7.8
Lamego,2010,26872,0,14.3,66.2,19.6,137,128,0.5,0,314,0,-130,111,52,1,10,16282,113,33,26,4,6,6,5563,2,816,1,0,0,10.3,2375,5639,11,23,811,12,3,28,6893,1515,37,1871,1772,10,273,19540.7,20484.3,944,60.2,20.5,2840.8,40.7,5,8,14.7,29.1,13.6,17.1,13.3, 0.6,11.7
Leiria,2010,126722,0,15.6,67.9,16.5,105,5178,4.1,0,1025,0,128,484,341,2,32,67105,234,98,95,14,15,9,24839,4,7438,7,438,17,10.7,16432,52496,5,9,984,90,10,176,29801,5090,33,3455,4490,5,738,54397.6,57280.2,2883,44.2,32.2,5676.3,79,10,23,10.2,24.8,12.3,20.2,16.6, 1.2,14.7
Lisboa,2010,549210,0,12.9,61.2,25.9,200,43142,7.9,0,7586,0,-1350,2813,1337,39,286,322304,42,278,202,85,97,73,126022,74,119302,42,7781,80,7.8,100307,584866,10,20,1575,739,5,1574,194522,95445,61,28260,23716,7,9983,564333,600698.2,36365,13.7,76.9,6315.4,102.5,15,193,6.8,20.3,8.2,15.6,16.9, 1.1,31.1
Loulé,2010,70099,0,16,65.3,18.7,117,13472,19.2,0,684,0,97,202,179,0,14,65495,183,32,33,10,10,5,13832,1,631,2,0,0,5.9,10658,31062,7,10,966,61,5,115,14224,1826,27,2345,3699,8,1828,97666.8,82321.9,-15345,20.7,67.8,7059.7,251,10,64,11.4,25.7,11.3,21.0,18.4, 1.2,11.1
Loures,2010,204740,0,15.6,67.5,16.9,109,18683,9.1,0,1684,0,703,859,559,1,44,98962,205,94,74,17,23,10,32693,0,0,0,0,7,3.9,20473,69128,9,12,1097,90,7,230,57238,12810,40,9475,8663,6,2206,102663.4,105528.6,2865,33.3,40.4,4444.3,72.4,10,2,7.9,25.2,11.9,20.7,18.0, 1.1,15.2
Lourinhã,2010,25677,0,16,65.7,18.3,115,1231,4.8,0,291,0,-63,94,79,0,6,16952,111,21,21,3,3,1,4347,0,0,1,0,0,4,3222,7822,9,20,794,11,11,39,6852,793,35,894,1059,6,369,20889.1,20875,-14,44,31.9,3376.4,54.7,5,3,13.5,29.5,14.1,18.6,14.6, 1.0,8.8
Lousã,2010,17544,0,17,66.4,16.6,98,510,2.9,0,167,0,10,72,48,0,3,10567,43,12,12,1,2,2,3195,0,0,1,0,0,20,1697,3989,14,34,846,6,1,17,4650,853,38,809,763,7,260,11786.2,12206.5,420,55.8,32.7,3784.5,52.4,10,2,8.9,28.1,12.4,21.4,16.6, 1.0,11.6
Lousada,2010,47381,0,19,70.7,10.3,54,213,0.4,0,306,0,174,173,110,0,8,18610,93,36,35,5,6,4,10443,0,0,0,0,0,5.1,3691,16033,7,11,692,11,1,34,8464,898,24,3101,2807,8,742,30949.4,29155.3,-1794,69,24.1,2869.5,17.4,4,2,10.5,32.8,20.1,20.3,10.1, 0.5,5.7
Mação,2010,7451,0,9.5,52.2,38.3,401,83,1.1,0,177,0,-151,8,10,0,5,6996,8,6,6,1,1,1,1426,0,0,1,0,0,9.6,610,1502,9,32,755,3,2,9,3666,548,63,125,130,3,209,9171.7,9330.1,158,77.8,23.5,3931.2,74.4,4,0,20.2,35.3,10.3,18.0,9.8, 0.6,5.8
Macedo de Cavaleiros,2010,15923,0,12,60.7,27.3,228,137,0.9,0,209,0,-116,55,33,1,4,11641,48,13,6,2,2,1,2492,2,527,2,0,0,7,1601,2826,5,19,778,9,2,18,5093,796,42,556,814,8,311,14973.2,16411.4,1438,72.1,29.4,3051.5,35.6,4,2,16.7,34.5,10.6,15.5,11.6, 0.7,10.4
Machico,2010,21889,0,16.4,70.9,12.7,78,201,0.9,0,191,0,-11,103,41,0,5,9841,34,13,8,3,3,1,4071,0,0,1,45,0,20.8,1421,3871,8,27,953,12,0,26,5474,820,34,896,1639,11,207,11251.4,11992.6,741,59.8,33.3,3151.6,57.5,15,10,13.7,34.5,15.4,16.4,11.2, 1.0,7.8
Madalena,2010,6060,0,14.8,67.1,18.1,122,142,2.3,0,78,0,-25,33,15,0,2,3155,17,5,5,1,1,2,1121,0,0,0,0,0,23.5,885,1617,12,28,0,6,0,13,1826,281,41,232,94,2,91,5797.8,6057.9,260,82,34,3297.1,1.3,3,2,8.4,37.5,12.6,18.4,14.3, 1.2,7.6
Mafra,2010,75499,0,19.4,65.9,14.7,76,4226,5.6,0,574,0,471,381,274,0,15,42764,235,42,22,6,6,4,12413,0,0,3,103,1,8,9695,28266,15,14,898,42,5,100,15168,2560,29,1347,2584,5,1013,54966.1,55236.1,270,44.3,42.1,3591.2,176.5,8,6,7.8,23.1,12.8,20.1,18.9, 1.3,15.9
Maia,2010,134759,0,17,70.2,12.8,75,2281,1.7,0,870,0,643,514,444,1,24,59520,96,68,44,8,12,5,21689,1,4249,0,785,9,14,15181,63923,12,20,1117,80,1,189,27567,4283,28,8974,8469,9,1154,62514.9,68351.4,5836,33,32.3,9678.4,109.7,9,10,5.9,24.5,11.5,19.6,18.1, 1.3,19.1
Mangualde,2010,20001,0,13.9,63.3,22.7,163,428,2.1,0,237,0,-82,107,41,0,8,13123,67,22,16,2,3,1,3639,0,0,0,0,0,4.7,1633,6855,39,74,925,9,2,23,6043,868,40,1074,1145,9,322,14416.1,15386.5,970,56.7,22,8294.9,23.4,7,6,13.2,33.2,13.4,18.1,12.4, 0.5,9.1
Manteigas,2010,3484,0,11,63.8,25.2,229,9,0.3,0,62,0,-43,11,3,0,2,2603,3,3,1,1,2,2,536,0,0,0,0,1,13.3,299,649,18,25,721,1,1,3,1504,199,55,128,212,10,68,6138.7,5962.6,-176,82.5,24.7,3402.5,65.7,2,2,14.1,41.7,10.1,14.1,11.9, 0.8,7.3
Marco de Canaveses,2010,53559,0,18.4,69.2,12.4,68,430,0.8,0,424,0,143,197,121,1,10,24085,128,56,47,4,8,5,12246,0,0,1,0,2,3.9,3723,15941,4,20,728,21,2,39,10800,999,27,5842,3994,11,429,19679,22096.7,2418,73.6,27.8,2818,44.7,9,1,11.7,33.5,18.7,18.7,10.9, 0.7,5.8
Marinha Grande,2010,38594,0,15.4,66.8,17.8,116,1480,3.8,0,345,0,37,129,132,1,8,21892,51,18,21,4,7,5,8176,1,219,2,0,1,10.2,4585,14308,8,17,1103,18,1,48,11650,1325,40,1361,1836,7,303,20252.3,21302.9,1051,38.8,46.5,12393.3,103.9,10,9,9.7,26.5,12.1,21.8,17.7, 1.1,11.1
Marvão,2010,3564,0,9.9,57.4,32.7,329,101,2.8,0,85,0,-64,8,8,0,3,2980,3,2,2,2,2,0,325,0,0,2,0,0,8.7,321,553,16,30,730,2,1,5,1608,247,59,159,110,5,113,5961.1,5584.6,-377,82.2,7.3,3520.4,88.1,5,5,21.0,32.1,12.7,16.1,10.6, 0.4,7.2
Matosinhos,2010,175412,0,14.6,70,15.4,105,3208,1.8,0,1390,0,304,619,570,3,36,81832,107,78,49,14,21,10,29206,4,5530,2,162,15,13.2,19657,87499,28,42,1127,101,3,257,43449,7905,34,14360,9156,7,1784,95583.3,98083.6,2500,40.6,37.2,5692.7,115.5,17,15,7.4,26.8,12.1,18.2,16.4, 1.1,18.0
Mealhada,2010,20501,0,14.1,65.4,20.5,146,428,2.1,0,221,0,-41,77,49,0,7,10119,42,19,9,2,4,2,2982,0,0,0,0,0,3.3,2144,5644,12,26,987,10,4,36,6974,931,45,340,747,6,333,14053.7,16111.3,2058,63,30,5679.7,67.3,4,10,10.3,29.8,12.4,18.8,15.0, 1.3,12.4
Mêda,2010,5275,0,10.6,55.3,34.1,322,16,0.3,0,87,0,-60,16,5,0,1,4934,15,4,1,1,1,1,611,0,0,1,0,1,4.7,429,898,15,33,776,3,1,5,2253,267,54,120,117,4,178,8352.7,8609.1,256,88.1,22,2644.4,33.7,3,0,21.7,39.2,10.1,12.4,9.1, 0.7,6.7
Melgaço,2010,9301,0,9.3,55.1,35.6,380,154,1.7,0,169,0,-114,27,14,0,3,7582,19,3,2,1,1,2,1057,0,0,0,0,0,5.3,698,1338,12,24,766,6,1,9,2944,457,41,108,112,2,317,11695.8,12289,593,77,23,2642.7,63.9,2,4,22.5,37.4,10.0,12.5,10.6, 0.9,6.2
Mértola,2010,7374,0,9.4,55.9,34.7,370,138,1.9,0,137,0,-95,20,2,0,2,8472,13,8,7,1,1,2,1050,0,0,0,0,1,10.6,794,1426,12,26,755,2,1,5,3335,405,57,366,272,7,285,14957.9,15453.5,496,88.6,14.2,2497.6,25.8,5,1,23.1,33.8,12.5,14.6,10.5, 0.4,5.1
Mesão Frio,2010,4482,0,14.1,66.1,19.8,141,24,0.5,0,60,0,-29,31,11,0,3,2383,1,5,5,1,1,1,1068,0,0,0,0,0,1.2,297,635,21,30,725,2,1,3,1394,175,41,448,465,16,135,10669,7037.5,-3632,80.3,38.2,1916.7,18.5,3,1,17.8,35.9,13.8,15.7,11.5, 0.6,4.6
Mira,2010,12525,0,13.3,63.2,23.5,177,147,1.2,0,150,0,-35,37,29,0,6,8601,44,9,8,1,1,1,1483,0,0,1,0,0,10.5,1436,3347,12,26,795,5,2,16,3610,947,42,414,588,7,238,10036.8,10420.5,384,59.4,26.7,4548.8,63.4,6,7,15.3,32.0,12.4,15.4,12.3, 1.1,11.6
